date,blog,keyword,seed,axis,score,source,event
2026-08-01,N,국민연금 안될 때,국민연금,오류/문제해결,48.8,bank,
2026-08-01,N,퇴직금 안될 때,퇴직금,오류/문제해결,48.8,bank,
2026-08-01,N,기초연금 필요 서류,기초연금,준비물/서류,46.9,bank,
2026-08-01,A,2026 세법개정안 신청 실패,2026 세법개정안,오류/문제해결,135.0,calendar,세제개편안 발표
2026-08-01,A,2026 세법개정안 안될 때,2026 세법개정안,오류/문제해결,135.0,calendar,세제개편안 발표
2026-08-01,A,2026 세법개정안 오류 해결,2026 세법개정안,오류/문제해결,135.0,calendar,세제개편안 발표
2026-08-01,B,태풍 대비 해결 방법,태풍 대비,오류/문제해결,115.4,calendar,태풍 대비
2026-08-01,B,항공권 최저가 준비물,항공권 최저가,준비물/서류,119.8,calendar,휴가철 항공권 특가
2026-08-01,B,허리디스크 치료 해결 방법,허리디스크 치료,오류/문제해결,65.0,bank,
2026-08-01,B,임플란트 비용 해결 방법,임플란트 비용,오류/문제해결,65.0,bank,
2026-08-01,B,자동차 보험료 절약 해결 방법,자동차 보험료 절약,오류/문제해결,65.0,bank,
2026-08-01,B,라식 라섹 비용 얼마,라식 라섹 비용,계산/금액,44.0,bank,
2026-08-01,B,장례식장 비용 얼마,장례식장 비용,계산/금액,44.0,bank,
2026-08-01,C,안마의자 취소 방법,안마의자,오류/문제해결,52.0,bank,
2026-08-01,C,매트리스 취소 방법,매트리스,오류/문제해결,52.0,bank,
2026-08-01,C,골프채 얼마,골프채,계산/금액,44.0,bank,
2026-08-01,D,전세자금대출 안될 때,전세자금대출,오류/문제해결,81.2,bank,
2026-08-01,D,주택담보대출 고객센터,주택담보대출,연락처/창구,78.1,bank,
2026-08-02,N,국민연금 오류 해결,국민연금,오류/문제해결,48.8,bank,
2026-08-02,N,퇴직금 오류 해결,퇴직금,오류/문제해결,48.8,bank,
2026-08-02,N,기초연금 준비물,기초연금,준비물/서류,46.9,bank,
2026-08-02,A,2026 세법개정안 조회 안됨,2026 세법개정안,오류/문제해결,135.0,calendar,세제개편안 발표
2026-08-02,A,2026 세법개정안 취소 방법,2026 세법개정안,오류/문제해결,135.0,calendar,세제개편안 발표
2026-08-02,A,2026 세법개정안 고객센터,2026 세법개정안,연락처/창구,130.5,calendar,세제개편안 발표
2026-08-02,B,항공권 최저가 계산 방법,항공권 최저가,계산/금액,108.6,calendar,휴가철 항공권 특가
2026-08-02,B,임플란트 비용 얼마,임플란트 비용,계산/금액,55.0,bank,
2026-08-02,B,허리디스크 치료 얼마,허리디스크 치료,계산/금액,55.0,bank,
2026-08-02,B,자동차 보험료 절약 얼마,자동차 보험료 절약,계산/금액,55.0,bank,
