seed_keyword,type,cpc_tier,blog,note
전세자금대출,금융,5,A,버팀목/신생아/청년 변형 확장
주택담보대출,금융,5,A,금리비교 갈아타기 파생
신용대출,금융,5,A,
개인회생,금융,5,A,최고단가군
개인파산,금융,5,A,
채무통합,금융,5,A,
중도상환수수료,금융,4,A,
신용점수 올리기,금융,4,A,
실손보험,금융,5,A,청구/갱신/전환 파생
암보험,금융,5,A,
자동차보험,금융,4,A,할인특약 갱신 파생
운전자보험,금융,4,A,
치아보험,금융,4,A,
도수치료 실비,금융,5,A,채널 실사례
종합소득세,금융,4,A,
연말정산,금융,4,A,
양도소득세,금융,5,A,
상속세,금융,5,A,
증여세,금융,5,A,
부가가치세,금융,4,A,
건강보험료,금융,4,A,정산/산정기준 파생
국민연금,금융,3,A,
퇴직금,금융,3,A,
실업급여,정책,3,A,검색량 최상
근로장려금,정책,3,A,
자녀장려금,정책,3,A,
청년도약계좌,금융,4,A,
청년미래적금,금융,4,A,채널 실사례
국민취업지원제도,정책,3,A,
기초연금,정책,3,A,
긴급복지지원,정책,3,A,
폐업지원금,정책,4,A,채널 실사례
소상공인 정책자금,정책,5,A,
창업지원금,정책,4,A,
국가장학금,정책,3,A,
학자금대출,정책,4,A,
전기차 보조금,정책,3,A,
주택청약,금융,4,A,1순위조건 가점 파생
임대차보호법,금융,5,A,대항력 확정일자 파생
전세사기,금융,5,A,
등기부등본,금융,3,A,
개인사업자 등록,금융,4,A,
ETF,금융,4,A,증거금 사전교육 파생
공모주 청약,금융,4,A,
연금저축,금융,4,A,
IRP,금융,4,A,
에어컨 전기요금,생활,2,B,누진세 파생
전기요금 절약,생활,2,B,
장마철 습기 제거,생활,2,B,
태풍 대비,생활,2,B,
온열질환,생활,2,B,
모기 퇴치,생활,2,B,
음식물쓰레기 처리,생활,2,B,
층간소음,생활,3,B,
자동차 검사,생활,3,B,
운전면허 갱신,생활,2,B,
여권 발급,생활,2,B,
주민등록등본 발급,생활,2,B,
전입신고,생활,2,B,
모바일 신분증,생활,2,B,채널 실사례
유심 교체,생활,2,B,채널 실사례
알뜰폰 요금제,생활,3,B,
인터넷 결합할인,생활,3,B,
로봇청소기,리뷰,3,C,
무선이어폰,리뷰,2,C,
노트북,리뷰,3,C,
제습기,리뷰,2,C,
에어컨 인버터 정속형,리뷰,3,C,
공기청정기,리뷰,3,C,
건조기,리뷰,3,C,
식기세척기,리뷰,3,C,
안마의자,리뷰,4,C,
매트리스,리뷰,4,C,
캠핑용품,리뷰,2,C,
추석 선물세트,리뷰,2,C,시즌 최대
홍삼 선물,리뷰,3,C,
개학 준비물,리뷰,2,C,
책상 의자,리뷰,3,C,
버팀목 전세자금대출,금융,5,D,
신생아 특례대출,금융,5,D,
디딤돌 대출,금융,5,D,
주택연금,금융,4,D,
연금저축 세액공제,금융,4,D,
퇴직연금 DC DB,금융,4,D,
근로소득세 계산,금융,4,D,
사업자 부가세 신고,금융,4,D,
법인세 신고,금융,4,D,
4대보험 계산,금융,3,D,
실업급여 이직확인서,정책,3,D,
육아휴직급여,정책,3,D,
출산전후휴가급여,정책,3,D,
아동수당,정책,3,D,
부모급여,정책,3,D,
청년월세 지원,정책,4,D,
버팀목 전세대출 연장,금융,5,D,
전세보증보험,금융,5,D,
확정일자 받는 법,금융,3,D,
소상공인 손실보전금,정책,4,D,
노란우산공제,금융,4,D,
개인형 IRP 수수료,금융,4,D,
암보험 갱신형,금융,5,A,
운전자보험 비교,금융,4,A,
여행자보험,금융,3,A,
반려동물보험,금융,4,A,
간병인보험,금융,4,A,
치매보험,금융,4,A,
종신보험 해지,금융,5,A,
변액보험 환급금,금융,5,A,
자동차 사고 과실비율,금융,4,A,
교통사고 합의금,금융,5,A,
산재보험 신청,정책,4,A,
실비보험 청구 서류,금융,4,A,
비염 치료,생활,3,B,
허리디스크 치료,생활,4,B,
임플란트 비용,생활,5,B,
라식 라섹 비용,생활,4,B,
건강검진 항목,생활,3,B,
독감 예방접종,생활,2,B,
장례식장 비용,생활,4,B,
이사비용 견적,생활,3,B,
입주청소 비용,생활,3,B,
도배 장판 비용,생활,3,B,
보일러 교체 비용,생활,4,B,
누수 탐지 비용,생활,3,B,
자동차 보험료 절약,생활,4,B,
중고차 시세,생활,4,B,
전기차 충전요금,생활,3,B,
하이패스 미납,생활,2,B,
과태료 조회,생활,2,B,
여름 이불,리뷰,2,C,
선풍기,리뷰,2,C,
서큘레이터,리뷰,2,C,
가습기,리뷰,2,C,
전기장판,리뷰,2,C,
러닝화,리뷰,3,C,
캠핑 텐트,리뷰,3,C,
자전거,리뷰,3,C,
골프채,리뷰,4,C,
등산화,리뷰,3,C,
유모차,리뷰,3,C,
카시트,리뷰,3,C,
분유,리뷰,3,C,
기저귀,리뷰,2,C,
반려견 사료,리뷰,3,C,
공유기,리뷰,2,C,
모니터,리뷰,3,C,
키보드,리뷰,2,C,
태블릿,리뷰,3,C,
스마트워치,리뷰,3,C,
