keyword,pc,mobile,total,comp_label,competition,ad_depth
쿠팡고객센터,16400,191000,207400,중간,0.6,2
쿠팡윙,124000,39900,163900,중간,0.6,4
쿠팡판매자센터,41900,25400,67300,중간,0.6,3
쿠팡윙판매자센터,18800,13700,32500,낮음,0.3,2
쿠팡배송조회,2970,18800,21770,낮음,0.3,1
쿠팡고객센터전화번호,1010,13600,14610,중간,0.6,1
쿠팡반품,1250,9510,10760,중간,0.6,2
쿠팡판매자,5610,2390,8000,중간,0.6,3
11번가고객센터,750,6710,7460,낮음,0.3,0
로켓그로스,2550,3580,6130,중간,0.6,3
쿠팡마켓플레이스,3580,2090,5670,낮음,0.3,1
지마켓고객센터,450,5050,5500,낮음,0.3,1
쿠팡전화번호,220,5020,5240,중간,0.6,1
쿠팡본사,1400,3480,4880,중간,0.6,1
쿠팡로켓그로스,1770,2550,4320,높음,0.9,7
쿠팡그로스,1890,1980,3870,높음,0.9,10
쿠팡환불,330,2500,2830,중간,0.6,1
쿠팡회원가입,240,2170,2410,중간,0.6,3
옥션고객센터,190,1560,1750,낮음,0.3,2
11번가고객센터전화번호,140,1450,1590,낮음,0.3,0
쿠팡입점,1010,570,1580,중간,0.6,3
지마켓고객센터전화번호,110,1420,1530,중간,0.6,1
쿠팡앱설치,80,1290,1370,낮음,0.3,2
쿠팡결제오류,190,1170,1360,중간,0.6,1
쿠팡셀러,730,570,1300,중간,0.6,6
쿠팡판매자센터로그인,820,450,1270,중간,0.6,5
쿠팡판매,710,460,1170,낮음,0.3,2
쿠팡로그인,230,920,1150,중간,0.6,1
쿠팡교환,120,900,1020,중간,0.6,1
네이버페이고객센터전화번호,210,800,1010,낮음,0.3,0
쿠팡주문취소,70,930,1000,중간,0.6,1
네이버페이환불방법,130,660,790,낮음,0.3,0
쿠팡로그인안됨,100,520,620,중간,0.6,1
네이버페이취소,120,460,580,낮음,0.3,0
쿠팡채팅상담,50,500,550,낮음,0.3,1
쿠팡쿠폰사용법,50,500,550,중간,0.6,1
쿠팡환불방법,60,480,540,중간,0.6,1
쿠팡취소,40,470,510,중간,0.6,1
