keyword,volume,comp,competition,ad_depth,tier,blog,score
청년미래적금,1113200,낮음,0.3,0,4,T1,1185.1
HUG보증보험,21250,낮음,0.3,2,5,T1,1060.2
부동산양도세계산기,13380,낮음,0.3,0,5,T1,1011.0
아파트양도세계산기,5080,낮음,0.3,0,5,T1,907.9
SBI저축은행신용대출,4910,낮음,0.3,1,5,T1,904.3
청년일자리도약장려금,40000,낮음,0.3,1,4,T1,902.0
부동산양도소득세계산기,3730,낮음,0.3,0,5,T1,875.1
세금계산기,25410,낮음,0.3,0,4,T1,863.4
국민연금,250100,낮음,0.3,2,3,T1,793.5
근로장려금,205600,낮음,0.3,0,3,T1,781.0
현금증여세계산기,1430,낮음,0.3,0,5,T1,773.1
신용대출DSR계산기,1340,낮음,0.3,0,5,T1,766.1
SOLETF,6920,낮음,0.3,2,4,T1,752.7
조세전문변호사,1080,낮음,0.3,0,5,T1,743.2
실업급여계산기,107200,낮음,0.3,2,3,T1,739.4
국가장학금,88000,낮음,0.3,0,3,T1,726.8
펀드뜻,5040,낮음,0.3,0,4,T1,725.7
청약가점계산기,2920,낮음,0.3,0,4,T1,679.2
주민등록등본인터넷발급,40660,낮음,0.3,1,3,T1,677.5
퇴직연금계산기,2780,낮음,0.3,0,4,T1,675.0
미래에셋ETF,2480,낮음,0.3,1,4,T1,665.3
실업급여수급기간,26920,낮음,0.3,2,3,T1,651.2
근로장려금대상,26170,낮음,0.3,1,3,T1,649.4
과세,1920,낮음,0.3,0,4,T1,643.5
월급세금계산기,1920,낮음,0.3,0,4,T1,643.5
3.3%계산기,23110,낮음,0.3,2,3,T1,641.5
고용보험계산기,1840,낮음,0.3,0,4,T1,639.9
세액계산기,1590,낮음,0.3,0,4,T1,627.5
삼성화재다이렉트운전자보험,1180,낮음,0.3,2,4,T1,602.1
삼성코덱스ETF,1040,낮음,0.3,1,4,T1,591.3
퇴직금세금,8340,낮음,0.3,0,3,T1,576.4
세후계산기,6350,낮음,0.3,0,3,T1,559.0
종합부동산세계산기,3370,낮음,0.3,0,3,T1,518.6
갑근세계산기,2370,낮음,0.3,0,3,T1,496.1
원천세계산기,2340,낮음,0.3,0,3,T1,495.3
원천징수계산기,2260,낮음,0.3,0,3,T1,493.1
64년생국민연금수령나이,1900,낮음,0.3,0,3,T1,482.0
퇴직금정산,1750,낮음,0.3,0,3,T1,476.7
