keyword,pc,mobile,total,comp_label,competition,ad_depth
환율,4550600,14857400,19408000,중간,0.6,8
미국증시,77300,4448100,4525400,중간,0.6,3
달러환율,601600,3709100,4310700,높음,0.9,9
나스닥선물,536600,3513300,4049900,중간,0.6,7
코스닥,515700,1967000,2482700,높음,0.9,3
주식시세,44200,1439400,1483600,높음,0.9,9
증시,103600,1194200,1297800,높음,0.9,3
아파트,140300,1055700,1196000,중간,0.6,8
계산기,435400,709500,1144900,높음,0.9,9
청년미래적금,231100,882100,1113200,낮음,0.3,0
유럽증시,10500,972800,983300,중간,0.6,4
종합주가지수,44700,857800,902500,중간,0.6,8
부동산,142800,667400,810200,높음,0.9,10
테슬라주가,53700,647600,701300,높음,0.9,3
아시아증시,21200,587600,608800,높음,0.9,3
환율조회,112100,493700,605800,높음,0.9,9
엔비디아주가,47900,549100,597000,중간,0.6,7
증권,29100,547000,576100,높음,0.9,9
다우나스닥,7330,504500,511830,중간,0.6,3
코스닥지수,61500,426200,487700,높음,0.9,3
뉴욕증시,15000,460100,475100,중간,0.6,4
제습기,85900,373500,459400,중간,0.6,8
정형외과,29900,423000,452900,높음,0.9,10
S&P500,53500,370100,423600,중간,0.6,7
KT,184500,231500,416000,높음,0.9,10
이비인후과,29300,379900,409200,높음,0.9,10
나스닥다우지수,3930,383000,386930,높음,0.9,3
나스닥100,36700,344800,381500,중간,0.6,5
하나카드,273600,106800,380400,중간,0.6,4
대출계산기,105400,251300,356700,높음,0.9,10
내과,21600,323200,344800,높음,0.9,10
선풍기,65100,276500,341600,중간,0.6,8
KOSPI,288800,46700,335500,높음,0.9,10
안과,19400,301000,320400,높음,0.9,10
대출이자계산기,78500,237200,315700,높음,0.9,10
창문형에어컨,52000,252400,304400,중간,0.6,8
삼성전자주가전망,21900,268900,290800,높음,0.9,9
퇴직금계산기,84800,203000,287800,높음,0.9,7
중고차,69700,200800,270500,높음,0.9,10
이동식에어컨,49200,218200,267400,중간,0.6,8
미세먼지,17300,248700,266000,중간,0.6,3
해외증시,3210,252000,255210,중간,0.6,5
치과,17400,233000,250400,높음,0.9,10
국민연금,115300,134800,250100,낮음,0.3,2
BYD,57500,190700,248200,높음,0.9,10
소상공인정책자금,92000,148800,240800,높음,0.9,9
벽걸이에어컨,32600,201200,233800,중간,0.6,8
미국주식,10000,219400,229400,중간,0.6,7
여행자보험,42100,178300,220400,높음,0.9,10
알닷,56000,159600,215600,낮음,0.3,1
미증시,7550,206500,214050,중간,0.6,4
폴스타4,34600,174500,209100,높음,0.9,7
근로장려금,23700,181900,205600,낮음,0.3,0
KODEX200,47000,153000,200000,낮음,0.3,1
신생아특례대출,41000,159000,200000,높음,0.9,3
재산세,70000,128700,198700,높음,0.9,3
헤이딜러,82000,115100,197100,낮음,0.3,1
음식물처리기,35100,160000,195100,중간,0.6,8
오늘주식시장,4670,186700,191370,높음,0.9,9
GV70,30900,152900,183800,높음,0.9,10
시급계산기,46500,136800,183300,높음,0.9,3
다우선물,13400,168200,181600,중간,0.6,6
ETF,44400,136400,180800,높음,0.9,10
이자계산기,40000,140400,180400,높음,0.9,10
신일선풍기,23100,155000,178100,중간,0.6,8
등기부등본열람,114500,61400,175900,높음,0.9,3
아이폰,38100,134300,172400,높음,0.9,10
부가세신고기간,36200,132900,169100,높음,0.9,10
나스닥100선물,23700,144200,167900,높음,0.9,10
노트북,51200,110900,162100,높음,0.9,9
한의원,13300,148800,162100,높음,0.9,10
인텔주가,14600,145600,160200,중간,0.6,6
전기자전거,35100,123100,158200,중간,0.6,8
주택담보대출,41900,111700,153600,높음,0.9,9
자동차보험,34200,117800,152000,높음,0.9,10
최저임금,54500,93700,148200,중간,0.6,5
내일배움카드,50300,97000,147300,높음,0.9,10
미즈노,26400,119100,145500,높음,0.9,10
로봇청소기,22100,120000,142100,중간,0.6,8
모바일신분증,8440,127700,136140,중간,0.6,2
소아과,3060,132700,135760,높음,0.9,10
대상포진,16500,119000,135500,높음,0.9,10
냉감패드,20100,114100,134200,중간,0.6,8
QQQ,36500,92900,129400,높음,0.9,3
병원,8930,120200,129130,높음,0.9,10
청년도약계좌,24600,103000,127600,높음,0.9,3
